epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1245.1,0.26036,0.18599,0.35149,0.85293,0.98909,0.99617,0.9948,0.99292,0.98909,0.99617,0.9948,0.9944,0.12695,0.09361,0.79053,0.60823,0.0098086,0.0098086,0.0098086
31,1286.6,0.26284,0.18351,0.35555,0.85779,0.99652,0.98481,0.99392,0.98901,0.99652,0.98481,0.99392,0.9937,0.12168,0.09228,1.16104,0.60621,0.009802,0.009802,0.009802
32,1328.01,0.25344,0.18096,0.33727,0.85714,0.99249,0.99,0.99469,0.99185,0.99249,0.99,0.99469,0.99447,0.12023,0.09909,0.59941,0.60368,0.0097954,0.0097954,0.0097954
33,1369.39,0.25561,0.18263,0.3463,0.85207,0.99286,0.98837,0.99372,0.99011,0.99286,0.98837,0.99372,0.99299,0.13081,0.09812,0.46564,0.61119,0.0097888,0.0097888,0.0097888
34,1410.75,0.25243,0.17766,0.34287,0.85185,0.98613,0.985,0.99362,0.99125,0.98613,0.985,0.99362,0.99343,0.12075,0.09786,1.24623,0.60598,0.0097822,0.0097822,0.0097822
35,1452.11,0.25152,0.17492,0.33939,0.85831,0.98533,0.98532,0.99383,0.98926,0.98533,0.98532,0.99383,0.99244,0.11841,0.09352,0.56516,0.60518,0.0097756,0.0097756,0.0097756
36,1493.54,0.25034,0.17711,0.33116,0.85331,0.99423,0.98633,0.99413,0.99188,0.99423,0.98633,0.99413,0.99329,0.11799,0.09591,0.39537,0.60162,0.009769,0.009769,0.009769
37,1534.97,0.24375,0.16917,0.32726,0.85169,0.99357,0.98623,0.99435,0.99192,0.99357,0.98623,0.99435,0.99316,0.11981,0.10141,0.3832,0.60304,0.0097624,0.0097624,0.0097624
38,1576.37,0.24569,0.1703,0.32667,0.85543,0.99595,0.99,0.99484,0.99205,0.99595,0.99,0.99484,0.99471,0.11379,0.08964,0.38255,0.60612,0.0097558,0.0097558,0.0097558
39,1617.84,0.24949,0.17902,0.33787,0.85048,0.9841,0.98877,0.99375,0.99173,0.9841,0.98877,0.99375,0.99324,0.11094,0.09867,0.64742,0.60187,0.0097492,0.0097492,0.0097492
